feature,importance
categorical__sprint_id_S3296,0.0
categorical__sprint_id_S3297,0.0
categorical__sprint_id_S3298,0.0
categorical__sprint_id_S3299,0.0
categorical__sprint_id_S330,0.0
categorical__sprint_id_S3300,0.0
categorical__sprint_id_S3301,0.0
categorical__sprint_id_S3302,0.0
categorical__sprint_id_S3304,0.0
categorical__sprint_id_S3305,0.0
categorical__sprint_id_S3306,0.0
categorical__sprint_id_S3307,0.0
categorical__sprint_id_S3308,0.0
categorical__sprint_id_S3309,0.0
categorical__sprint_id_S331,0.0
categorical__sprint_id_S3310,0.0
categorical__sprint_id_S3311,0.0
categorical__sprint_id_S3312,0.0
categorical__sprint_id_S3314,0.0
categorical__sprint_id_S3295,0.0
categorical__sprint_id_S3294,0.0
categorical__sprint_id_S3293,0.0
categorical__sprint_id_S328,0.0
categorical__sprint_id_S3271,0.0
categorical__sprint_id_S3272,0.0
categorical__sprint_id_S3273,0.0
categorical__sprint_id_S3275,0.0
categorical__sprint_id_S3276,0.0
categorical__sprint_id_S3277,0.0
categorical__sprint_id_S3278,0.0
categorical__sprint_id_S3279,0.0
categorical__sprint_id_S3282,0.0
categorical__sprint_id_S3292,0.0
categorical__sprint_id_S3284,0.0
categorical__sprint_id_S3286,0.0
categorical__sprint_id_S3287,0.0
categorical__sprint_id_S3288,0.0
categorical__sprint_id_S3289,0.0
categorical__sprint_id_S329,0.0
categorical__sprint_id_S3290,0.0
categorical__sprint_id_S3291,0.0
categorical__sprint_id_S3438,0.0
categorical__sprint_id_S3440,0.0
categorical__sprint_id_S405,0.0
categorical__sprint_id_S399,0.0
categorical__sprint_id_S3961,0.0
categorical__sprint_id_S3964,0.0
categorical__sprint_id_S3965,0.0
categorical__sprint_id_S3968,0.0
categorical__sprint_id_S397,0.0
categorical__sprint_id_S3970,0.0
categorical__sprint_id_S3971,0.0
categorical__sprint_id_S3972,0.0
categorical__sprint_id_S3975,0.0
categorical__sprint_id_S3976,0.0
categorical__sprint_id_S3979,0.0
categorical__sprint_id_S398,0.0
categorical__sprint_id_S3980,0.0
categorical__sprint_id_S3981,0.0
categorical__sprint_id_S3982,0.0
categorical__sprint_id_S3983,0.0
categorical__sprint_id_S3985,0.0
categorical__sprint_id_S3987,0.0
categorical__sprint_id_S3988,0.0
categorical__sprint_id_S3960,0.0
categorical__sprint_id_S396,0.0
categorical__sprint_id_S3959,0.0
categorical__sprint_id_S3945,0.0
categorical__sprint_id_S3937,0.0
categorical__sprint_id_S3938,0.0
categorical__sprint_id_S3939,0.0
categorical__sprint_id_S394,0.0
categorical__sprint_id_S3940,0.0
categorical__sprint_id_S3941,0.0
categorical__sprint_id_S3942,0.0
categorical__sprint_id_S3944,0.0
categorical__sprint_id_S3947,0.0
categorical__sprint_id_S3958,0.0
categorical__sprint_id_S3948,0.0
categorical__sprint_id_S3949,0.0
categorical__sprint_id_S3951,0.0
categorical__sprint_id_S3952,0.0
categorical__sprint_id_S3953,0.0
categorical__sprint_id_S3954,0.0
categorical__sprint_id_S3955,0.0
categorical__sprint_id_S3957,0.0
categorical__sprint_id_S3989,0.0
categorical__sprint_id_S3991,0.0
categorical__sprint_id_S3934,0.0
categorical__sprint_id_S3992,0.0
categorical__sprint_id_S4029,0.0
categorical__sprint_id_S403,0.0
categorical__sprint_id_S4030,0.0
categorical__sprint_id_S4032,0.0
categorical__sprint_id_S4033,0.0
categorical__sprint_id_S4034,0.0
categorical__sprint_id_S4035,0.0
categorical__sprint_id_S4036,0.0
categorical__sprint_id_S4038,0.0
categorical__sprint_id_S4039,0.0
categorical__sprint_id_S404,0.0
categorical__sprint_id_S4040,0.0
categorical__sprint_id_S4041,0.0
categorical__sprint_id_S4043,0.0
categorical__sprint_id_S4044,0.0
categorical__sprint_id_S4045,0.0
categorical__sprint_id_S4046,0.0
categorical__sprint_id_S4047,0.0
categorical__sprint_id_S4049,0.0
categorical__sprint_id_S4026,0.0
categorical__sprint_id_S4024,0.0
categorical__sprint_id_S4023,0.0
categorical__sprint_id_S4006,0.0
categorical__sprint_id_S3993,0.0
categorical__sprint_id_S3994,0.0
categorical__sprint_id_S3995,0.0
categorical__sprint_id_S3999,0.0
categorical__sprint_id_S4,0.0
categorical__sprint_id_S400,0.0
categorical__sprint_id_S4001,0.0
categorical__sprint_id_S4002,0.0
categorical__sprint_id_S401,0.0
categorical__sprint_id_S4022,0.0
categorical__sprint_id_S4011,0.0
categorical__sprint_id_S4012,0.0
categorical__sprint_id_S4013,0.0
categorical__sprint_id_S4015,0.0
categorical__sprint_id_S4016,0.0
categorical__sprint_id_S4017,0.0
categorical__sprint_id_S4542,0.0
categorical__sprint_id_S4020,0.0
categorical__sprint_id_S3935,0.0
categorical__sprint_id_S3933,0.0
categorical__sprint_id_S3442,0.0
categorical__sprint_id_S355,0.0
categorical__sprint_id_S347,0.0
categorical__sprint_id_S3470,0.0
categorical__sprint_id_S3472,0.0
categorical__sprint_id_S3474,0.0
categorical__sprint_id_S3475,0.0
categorical__sprint_id_S3476,0.0
categorical__sprint_id_S3477,0.0
categorical__sprint_id_S3478,0.0
categorical__sprint_id_S3479,0.0
categorical__sprint_id_S348,0.0
categorical__sprint_id_S3481,0.0
categorical__sprint_id_S3483,0.0
categorical__sprint_id_S3485,0.0
categorical__sprint_id_S349,0.0
categorical__sprint_id_S35,0.0
categorical__sprint_id_S350,0.0
categorical__sprint_id_S351,0.0
categorical__sprint_id_S352,0.0
categorical__sprint_id_S353,0.0
categorical__sprint_id_S3469,0.0
categorical__sprint_id_S3468,0.0
categorical__sprint_id_S3467,0.0
categorical__sprint_id_S3456,0.0
categorical__sprint_id_S3444,0.0
categorical__sprint_id_S3445,0.0
categorical__sprint_id_S3446,0.0
categorical__sprint_id_S3447,0.0
categorical__sprint_id_S3450,0.0
categorical__sprint_id_S3452,0.0
categorical__sprint_id_S3453,0.0
categorical__sprint_id_S3454,0.0
categorical__sprint_id_S3457,0.0
categorical__sprint_id_S3466,0.0
categorical__sprint_id_S3458,0.0
categorical__sprint_id_S3459,0.0
categorical__sprint_id_S346,0.0
categorical__sprint_id_S3460,0.0
categorical__sprint_id_S3461,0.0
categorical__sprint_id_S3462,0.0
categorical__sprint_id_S3464,0.0
categorical__sprint_id_S3465,0.0
categorical__sprint_id_S354,0.0
categorical__sprint_id_S356,0.0
categorical__sprint_id_S3932,0.0
categorical__sprint_id_S357,0.0
categorical__sprint_id_S382,0.0
categorical__sprint_id_S383,0.0
categorical__sprint_id_S384,0.0
categorical__sprint_id_S386,0.0
categorical__sprint_id_S387,0.0
categorical__sprint_id_S388,0.0
categorical__sprint_id_S389,0.0
categorical__sprint_id_S39,0.0
categorical__sprint_id_S390,0.0
categorical__sprint_id_S392,0.0
categorical__sprint_id_S3921,0.0
categorical__sprint_id_S3923,0.0
categorical__sprint_id_S3925,0.0
categorical__sprint_id_S3926,0.0
categorical__sprint_id_S3927,0.0
categorical__sprint_id_S3928,0.0
categorical__sprint_id_S3929,0.0
categorical__sprint_id_S393,0.0
categorical__sprint_id_S3931,0.0
categorical__sprint_id_S381,0.0
categorical__sprint_id_S380,0.0
categorical__sprint_id_S379,0.0
categorical__sprint_id_S366,0.0
categorical__sprint_id_S358,0.0
categorical__sprint_id_S359,0.0
categorical__sprint_id_S36,0.0
categorical__sprint_id_S360,0.0
categorical__sprint_id_S361,0.0
categorical__sprint_id_S362,0.0
categorical__sprint_id_S363,0.0
categorical__sprint_id_S365,0.0
categorical__sprint_id_S367,0.0
categorical__sprint_id_S378,0.0
categorical__sprint_id_S368,0.0
categorical__sprint_id_S369,0.0
categorical__sprint_id_S37,0.0
categorical__sprint_id_S370,0.0
categorical__sprint_id_S371,0.0
